"","publication.title","publication.journal","publication.date","publication.doi","publication.tot_cites","publication.abstract","Assigned.to","Food.item_notes","Inputs","Inputs_notes","Production","Production_notes","Storage.Processing","Storage.Processing_notes","Distribution.domestic","Distribution.domestic_notes","International.trade","International.trade_notes","Retail.Markets","Retail.Markets_notes","Consumption","Consumption_notes","Price","Price_notes","Shock.type","Shock.type.notes","Shock.year","Propagation","Study.design","Study.design.type","Primary.outcomes.assessed","Study.location","Study.scale","Study.time.period","Eliminate","Elimination.justification","Notes","study.id","Food.item","Stop_at_prod","Study.region"
"127","Local impacts of a global crisis: Food price transmission, consumer welfare and poverty in Ghana","Food Policy","8/1/10","10.1016/j.foodpol.2010.01.004",40,"This paper takes a local perspective on global food price shocks by analyzing food price transmission between regional markets in Ghana. It also assesses the impacts of food price increases on various household groups. Taking the 2007-2008 global food crisis as an example, we show that prices for domestic grain products are highly correlated with world market prices. This is true both for products for which Ghana is highly import-dependent (e.g., rice) and the products for which Ghana is self-sufficient (e.g., maize). The econometric results also show that price transmission is high between regional producer markets and markets located in the country's largest cities, and the distance between producer and consumer markets and the size of consumer markets matter in explaining the price transmission. The welfare analysis for households as consumers shows that the effect of world food prices appears relatively modest for the country as a whole due to relatively diverse consumption patterns within country. However, the national average hides important regional differences, both between regions and within different income groups. We find that the poorest of the poor-particularly those living in the urban areas-are hardest hit by high food prices. The negative effect of the food crisis is particularly strong in northern Ghana. The main explanations for this regional variation in the price effect is the different consumption patterns and much lower per capita income levels in the North of Ghana compared to other regions in the country. (C) 2010 Elsevier Ltd. All rights reserved.","Shauna","Original: Cereals and tubers (maize, rice, wheat, sorghum and millet, cassava, and
yam, cocoyam and other staples)","No","","No","(but looks at markets in production areas)","Yes","","Yes","(distance between markets)","Yes",NA,"No","","Yes","Food expenditure only","Yes","","Price spike","","2007-2008","Yes","Model examining cointegration and partial equilibrium model to exam consumer demand for food given shock","Quantitative","Price transmission","Ghana","National","2007-2008","N","","",43,"Other cereals","N","Africa"
"128","Market Integration and Spatial Price Transmission in Niger Grain Markets","African Development Review-Revue Africaine De Developpement","6/1/14","10.1111/1467-8268.12080",4,"This paper investigates price transmission from international and regional markets to Niger domestic grain markets using monthly wholesale prices. Cointegration and error correction models were employed to analyze the degree of price transmission. Tests of causality were also performed. In general, the results showed that grain markets in Niger respond to negative and positive shocks in regional and international markets differently. Maize and rice markets have high speed of adjustments to world prices compared to millet and sorghum markets. The speed of adjustment of prices to the long-run equilibrium varies between 30 percent, 35 percent, 48 percent and 40 percent respectively for millet, sorghum, maize and rice prices. Nigeria, Burkina-Faso, Mali, Togo and Vietnam markets have shown significant transmission in Niger markets. Supply and demand shocks in these markets will definitely affect Niger food prices. Based on this analysis, we suggest that Niger should develop a proper trade policy with its neighboring countries to facilitate regional market integration. This will enable Niger to import cereals from regional surplus-producing areas to supply its food shock regions to reduce the negative impacts of price shocks on households. For rice, Niger should encourage local production to limit high dependence on international markets.","Shauna","","No","","Yes","(talks about how production changes due to seasonality influence the prices)","No","","Yes","(mentions transportation)","Yes",NA,"No","","No","","Yes","","No specific shock","","na","Yes","Cointegration models to analyze price transmissions using monthly wholesale prices from FAO","Quantitative","Price transmission","Niger","National","2006-2012","N","","Doesn’t actually mention a shock or climate. Not sure if it should be included",45,"Maize, Wheat & Rice","N","Africa"
"129","Reserves and trade jointly determine exposure to food supply shocks","Environmental Research Letters","9/1/16","10.1088/1748-9326/11/9/095009",21,"While a growing proportion of global food consumption is obtained through international trade, there is an ongoing debate on whether this increased reliance on trade benefits or hinders food security, and specifically, the ability of global food systems to absorb shocks due to local or regional losses of production. This paper introduces a model that simulates the short-term response to a food supply shock originating in a single country, which is partly absorbed through decreases in domestic reserves and consumption, and partly transmitted through the adjustment of trade flows. By applying the model to publicly-available data for the cereals commodity group over a 17 year period, we find that differential outcomes of supply shocks simulated through this time period are driven not only by the intensification of trade, but as importantly by changes in the distribution of reserves. Our analysis also identifies countries where trade dependency may accentuate the risk of food shortages from foreign production shocks; such risk could be reduced by increasing domestic reserves or importing food from a diversity of suppliers that possess their own reserves. This simulation-based model provides a framework to study the short-term, nonlinear and out-of-equilibrium response of trade networks to supply shocks, and could be applied to specific scenarios of environmental or economic perturbations.","Shauna","Original: Cereals and cereal products","No","","Yes","","Yes","(reserves)","No","","Yes",NA,"No","","Yes","","Yes","Indirectly (check with Jessica)","Simulate a shock","Production shock (20%)","na","Yes","Model simulating the impact of a shock of a specific food commodity to global trade to examine tapping into reserves using historical data on the international trade of cereals","Quantitative","Transmission of shock through trade networks","Global","International","1994-2011","N","","No mention of climate",52,"Other cereals","N","Multi-regional"
"130","Rethinking the global food crisis: The role of trade shocks","Food Policy","4/1/11","10.1016/j.foodpol.2010.10.003",96,"Although fundamental factors were clearly responsible for shifting the world to a higher food price equilibrium in the years leading up the 2008 food crisis, there is little doubt that when food prices peaked in June of 2008, they soared well above the new equilibrium price. Numerous arguments have been proposed to explain overshooting, including financial speculation, depreciation of the United States (US) dollar, low interest rates, and reductions in grain stocks. However, observations that international rice prices surged in response to export restrictions by India and Vietnam suggested that trade-related factors could be an important basis for overshooting, especially given the very tangible link between export volumes and export prices. In this paper, we revisit the trade story by closely examining monthly data from Thailand (the largest exporter of rice), and the United States (the largest exporter of wheat and maize and the third largest exporter of soybeans). In all cases except soybeans, we find that large surges in export volumes preceded the price surges. The presence of these large demand surges, together with back-of-the-envelope estimates of their price impacts, suggests that trade events played a much larger and more pervasive role than previously thought. (C) 2010 Elsevier Ltd. All rights reserved.","Kyle","","No","","No","","No","","No","","No",NA,"No","","No","","Yes","","Price spike","","2008","No","Descriptive analysis","Quantitative","Price volatility","Thailand, United States","National","2000s","N","","",54,"Legumes & nuts","N","Multi-regional"
"131","Shock transmission in the International Food Trade Network","Plos One","8/8/18","10.1371/journal.pone.0200639",3,"Food Security is a long-standing concern worldwide. The expansion of global food markets brings benefits but also risks, such as shock transmission within the global network of trade relations. We focus on this last issue, from an empirical point of view, by analysing the diffusion of trade shocks-defined as relevant drops in exported quantities-during the period 1986-2011, for four major staples (wheat, maize, rice, and soy-beans) both at country level and at global scale. We find that: (i) income per capita of importing countries is relevant in shock propagation; (ii) developing countries tend to absorb most of the negative export variation (i.e., the trade shock), and (iii) global food prices and real (tonnes) flows of commodities are only weakly correlated, meaning that a quantity-based investigation provides additional information with respect to a price-based analysis. This work offers a novel frame-work, complementary to the price-based literature, for the measurement of the propagation of international food shocks.","Kyle","","No","","No","","No","","No","","Yes",NA,"No","","No","","No","","Drop in export quantity","","Multiple","Yes","Statistical regression","Quantitative","Shock transmission","Global","National","1986-2011","N","","",56,"Legumes & nuts","N","Multi-regional"
"132","The Distributional and Multi-Sectoral Impacts of Rainfall Shocks: Evidence From Computable General Equilibrium Modelling for the Awash Basin, Ethiopia","Ecological Economics","4/1/18","10.1016/j.ecolecon.2017.11.038",3,"This paper presents an analysis of the multi-sectoral and distributional economic impacts of rainfall shocks in the Awash river basin in Ethiopia. Using novel disaggregated data on crop production, we estimate the direct impacts of rainfall shocks on agriculture and then use a Computable General Equilibrium model to simulate how these rainfall shocks propagate through the wider economy of the basin under three different climate change scenarios. The basin's economy and expanding agricultural sector are highly vulnerable to the impacts of rainfall shocks. A rainfall decrease scenario could lead to a 5% decline in the basin's GDP, with agricultural GDP standing to drop by as much as 10%. All sectors benefit from greater rainfall amounts. Distributional impacts depend on income group, with poor households accruing greater benefits relative to non-poor households under a scenario of additional rainfall and suffering proportionally lower income losses under a scenario of rainfall decrease.","Kyle","","No","","Yes","","No","","Yes","","No",NA,"No","","No","","Yes","","Rainfall variability, floods, droughts","","Simulated","No","Computable general equilibrium model","Quantitative","Crop productivity and changes in GDP","Ethiopia","Sub-national","2004-2014","N","","",64,"Misc.","N","Africa"
"133","The relative profitability of dairy, sheep, beef and grain farm enterprises in southeast Australia under selected rainfall and price scenarios","Agricultural Systems","5/1/13","10.1016/j.agsy.2013.01.002",19,"Dryland farming and its profitability is directly affected by the amount and timing of rainfall that influence and consequently impacts on pasture and crop yields. Yet rainfall is not the sole determinant of farm enterprise profitability; prices of farm inputs and commodities produced also affect farm profits. This study draws on farm commodity prices and input prices from the past 9 years to form correlated price and cost datasets that are then used in examining the profitability of a range of farm enterprises in south eastern Australia under low, average and high rainfall scenarios. Fourteen representative farm enterprises were examined that included the production of Merino fine wool, prime lamb, beef cattle, milk, wheat and canola. The spread of profitability of these farm enterprises against the backdrop of price variability and rainfall scenarios was compared. The results show that profitability of the enterprises studied is currently affected more by changes in rainfall than by commodity prices and that dairy enterprises are the most profitable on a $/ha basis but that the profitability of wheat, steer and prime lamb enterprises are least affected by low rainfall scenarios. The self-replacing cow-calf beef systems, canola and dairy enterprises are the most vulnerable to reduced rainfall and may benefit by reducing profit risk through changes such as expanding the enterprise or diversifying across other types of enterprises. Farm diversification involving combinations of enterprises with negatively correlated profits will enable the variance in farm profits to be reduced. Such actions could form part of farms' adaptation strategies to climate and price variability. (C) 2013 Elsevier Ltd. All rights reserved.","Kyle","","No","","No","","No","","No","","No",NA,"No","","No","","Yes","","No specific shock","(looked at relative influence of rainfall variability and commodity prices)","n/a","No","Mechanistic biophysical modelling to estimate yield/producitvity under different rainfall and commodity price scenarios","Quantative","Yield and profitability","Australia","Sub-national","2002-2011","N","","",73,"Dairy","N","Oceania"
"134","Volatility in Cereal Prices: Intra- Versus Inter-annual Volatility","Journal of Agricultural Economics","9/1/14","10.1111/1477-9552.12073",8,"Intra-annual (within crop year) price volatility and inter-annual (between crop years) price volatility are measured for wheat, maize, rice, barley, oats and rye. A set of explanatory variables is used in a pooled regression to explain variations in these price volatilities. With low cereal stocks, supply (yield) shocks (defined here as volatilities, as for the price volatilities) mostly influence inter-annual volatility while other influential factors are the crude oil price and exchange rate. Cereal demand and interest rate shocks combined with low stocks affect intra-annual volatility, while other explanatory factors include exchange rate and crude oil price shocks. The derivatives market activity appears to have no significant effect on either intra-or inter-annual volatility. In contrast, large cereal stocks and a well-functioning international cereal market reduce the effects of shocks in the explanatory variables on both intra-and inter-annual volatilities.","Kyle","","No","","Yes","","No","","No","","Yes",NA,"No","","No","","Yes","","Weather shocks, market fluctuations","","Multiple","No","Pooled regression approach","Quantative","Price volatility","Global","International","1960-2013","N","","",79,"Other cereals","N","Multi-regional"
"135","Are smallholder farmers better or worse off from an increase in the international price of cereals?","Food Policy","8/1/18","10.1016/j.foodpol.2018.07.006",0,"The effect of agricultural price shocks on household welfare in low-income countries is a major concern for policymakers attempting to reduce poverty rates. This study estimates the impact of an increase in the world cereal price on rural households in Burkina Faso in an agricultural household model framework. We account for imperfect transmission of global prices to local prices as well as supply and demand response of rural households to price signals. The increase in price during the period from 2006 to 2014 is translated to welfare improvement ranging from 0.02 percent for 2006 to 0.06 percent for 2011 for farmers in Burkina Faso.","Jessica","Cereals (pearl millet, maize, rice, sorghum, peanuts and cowpea)","No","","No","","No","","No","","No",NA,"No","","No","","Yes","","Price spike","","n/a","N","Household panel data used to estimate supply and demand elasticities and price transmission","Mixed
","Welfare","Burkina Faso","National","2007-2011","N","","",4,"Legumes & nuts","N","Africa"
"136","Duration dependence and dynamic conditional covariance of seasonal food price shocks in semi-arid African countries","Food Security","6/1/12","10.1007/s12571-012-0179-y",1,"Every year in the months preceding harvests several African regions register higher malnutrition and morbidity levels, severe water shortages, and food price jumps. A previous study, focused on Niamey (Niger) with 'hunger' and 'normal' seasons modelled as a latent Markov process, found that in the last two decades the risk of food crises has tended to spread over longer periods and to shift forward in timing. To help better devise support programmes, it would be beneficial to test for this finding in other locations in Africa and extend the focus beyond conditional mean analysis. This paper first reviews measures of food insecurity/crisis risk, and considers determinants of spatial and temporal food price variability in drought-prone countries. Duration-dependent Markov-switching VAR models are then formulated and applied to monthly staple prices of food markets in Niger, Ethiopia and Somalia. This is complemented with multivariate GARCH models of volatility and dynamic correlations of food price shocks in major urban centres of five Sahel countries. In Niger, seasonal shocks in surplus-producing regions often anticipate by nearly 1 month those in deficit regions. 'Steep' regime probability switches are of concern especially in recent years. However, across semi-arid countries in East and West Africa, no systematic variation over time was detected in terms of onset and length of seasonal food insecurity periods, nor between seasons relative to food price volatility.","Jessica","Original items: Staple crops; crops listed in 'Food Item(s)' were those staple crops mentioned in the study text","No","","No","","No","","No","","No",NA,"No","","No","","Yes","","Drought","","n/a","N","Time series econometric approach","Quantitative","Seasonal impact on staple crop price","Niger, Ethiopia and Somalia","National","1990-2010","N","","Kyle requested and emailed pdf",14,"Maize, Wheat & Rice","N","Africa"
"137","Food Access and Shocks in Rural Households: Evidence from Bangladesh and Ethiopia","Social Indicators Research","11/1/16","10.1007/s11205-015-1118-z",1,"Rural households in developing countries face shocks that undermine their wellbeing. The paper analyses to what extent household exposure to shocks influences food access in rural areas of Bangladesh and Ethiopia. Shortage of staple foods is used as a proxy variable for food access. Climatic, agricultural production, health and other shocks were considered. Findings show that the persistence of shock consequences has a positive and significant impact on the household's probability of facing staple shortage. Additionally, wealth indicators like land size, livestock, assets, human capital and community and social networks exhibit a negative relationship with the likelihood of food shortage.","Shauna","Original: Staples (Ethiopia: maize, teff, wheat, barley, potatoes, beans; Bangladesh: rice, maize, wheat, potatoes)","No","","Yes","","Yes","for Ethiopia","No","","No",NA,"No","","Yes","","No","","Floods, drought","Bangladesh (floods, illness/injury, dowry); Ethiopia (drought, illness, harvest loss)","1999-2004","No","Probit model examining impact of shocks on food shortage using 1000 household observations in Bangladesh and 925 in Ethiopia of RANQ-dataset","Quantitative","Food shortages","Ethiopia and Bangladesh","Sub-national","1999-2004","N","","Not sure if production and storage should be yes because they are considering storage loss as the shock. Self reported food shortage related to shocks over a 5 year period.",25,"Roots and tubers","N","Multi-regional"
"138","Local Food Prices and International Price Transmission","World Development","8/1/17","10.1016/j.worlddev.2017.03.008",5,"World food prices spiked in the periods 2007-8 and 2010-11. The impact of these spikes in world food prices on local food prices and thus on local consumers is determined by the food price pass through. Pass through is defined as the extent to which changes in world food prices lead to changes in local food prices. We examine the determinants of variation in food price pass through from global to local consumer prices in a global sample of 147 countries, using FAO data on world food prices and ILO data on food prices for consumers. While market integration matters, our study finds that income per capita is the dominant factor explaining cross-country variation in pass through of food prices. We estimate an elasticity of about 0.3 of pass through with respect to income per capita. This means far greater price transmission of food price shocks at the commodity level to final consumers in low-income countries than in high-income countries. The implication is that future swings in world food prices will in particular jeopardize food security in poor countries. Trade policy measures of market integration also affect the pass through significantly, whereas infrastructure and geography measures play no significant role. (C) 2017 Elsevier Ltd. All rights reserved.","Shauna","Original: Cereals, oils and fats, dairy, meat and sugar; items in 'Food Item(s)' based on current list of commodities in FAO's Food Price Index; 'milk powder' was modified to 'milk'","No","","No","","No","","No","","Yes",NA,"No","","No","","Yes","","Price spike","","2007-2008","Yes","Regression using world food price data and consumer price index for price of total food consumption within country and to examine long-run food price pass through","Quantitative","food price pass through","147 countries","International","2000-2012","N","","",42,"Dairy","N","Multi-regional"
"139","Local impacts of a global crisis: Food price transmission, consumer welfare and poverty in Ghana","Food Policy","8/1/10","10.1016/j.foodpol.2010.01.004",40,"This paper takes a local perspective on global food price shocks by analyzing food price transmission between regional markets in Ghana. It also assesses the impacts of food price increases on various household groups. Taking the 2007-2008 global food crisis as an example, we show that prices for domestic grain products are highly correlated with world market prices. This is true both for products for which Ghana is highly import-dependent (e.g., rice) and the products for which Ghana is self-sufficient (e.g., maize). The econometric results also show that price transmission is high between regional producer markets and markets located in the country's largest cities, and the distance between producer and consumer markets and the size of consumer markets matter in explaining the price transmission. The welfare analysis for households as consumers shows that the effect of world food prices appears relatively modest for the country as a whole due to relatively diverse consumption patterns within country. However, the national average hides important regional differences, both between regions and within different income groups. We find that the poorest of the poor-particularly those living in the urban areas-are hardest hit by high food prices. The negative effect of the food crisis is particularly strong in northern Ghana. The main explanations for this regional variation in the price effect is the different consumption patterns and much lower per capita income levels in the North of Ghana compared to other regions in the country. (C) 2010 Elsevier Ltd. All rights reserved.","Shauna","Original: Cereals and tubers (maize, rice, wheat, sorghum and millet, cassava, and
yam, cocoyam and other staples)","No","","No","(but looks at markets in production areas)","Yes","","Yes","(distance between markets)","Yes",NA,"No","","Yes","Food expenditure only","Yes","","Price spike","","2007-2008","Yes","Model examining cointegration and partial equilibrium model to exam consumer demand for food given shock","Quantitative","Price transmission","Ghana","National","2007-2008","N","","",43,"Other cereals","N","Africa"
"140","Reserves and trade jointly determine exposure to food supply shocks","Environmental Research Letters","9/1/16","10.1088/1748-9326/11/9/095009",21,"While a growing proportion of global food consumption is obtained through international trade, there is an ongoing debate on whether this increased reliance on trade benefits or hinders food security, and specifically, the ability of global food systems to absorb shocks due to local or regional losses of production. This paper introduces a model that simulates the short-term response to a food supply shock originating in a single country, which is partly absorbed through decreases in domestic reserves and consumption, and partly transmitted through the adjustment of trade flows. By applying the model to publicly-available data for the cereals commodity group over a 17 year period, we find that differential outcomes of supply shocks simulated through this time period are driven not only by the intensification of trade, but as importantly by changes in the distribution of reserves. Our analysis also identifies countries where trade dependency may accentuate the risk of food shortages from foreign production shocks; such risk could be reduced by increasing domestic reserves or importing food from a diversity of suppliers that possess their own reserves. This simulation-based model provides a framework to study the short-term, nonlinear and out-of-equilibrium response of trade networks to supply shocks, and could be applied to specific scenarios of environmental or economic perturbations.","Shauna","Original: Cereals and cereal products","No","","Yes","","Yes","(reserves)","No","","Yes",NA,"No","","Yes","","Yes","Indirectly (check with Jessica)","Simulate a shock","Production shock (20%)","na","Yes","Model simulating the impact of a shock of a specific food commodity to global trade to examine tapping into reserves using historical data on the international trade of cereals","Quantitative","Transmission of shock through trade networks","Global","International","1994-2011","N","","No mention of climate",52,"Other cereals","N","Multi-regional"
"141","The relative profitability of dairy, sheep, beef and grain farm enterprises in southeast Australia under selected rainfall and price scenarios","Agricultural Systems","5/1/13","10.1016/j.agsy.2013.01.002",19,"Dryland farming and its profitability is directly affected by the amount and timing of rainfall that influence and consequently impacts on pasture and crop yields. Yet rainfall is not the sole determinant of farm enterprise profitability; prices of farm inputs and commodities produced also affect farm profits. This study draws on farm commodity prices and input prices from the past 9 years to form correlated price and cost datasets that are then used in examining the profitability of a range of farm enterprises in south eastern Australia under low, average and high rainfall scenarios. Fourteen representative farm enterprises were examined that included the production of Merino fine wool, prime lamb, beef cattle, milk, wheat and canola. The spread of profitability of these farm enterprises against the backdrop of price variability and rainfall scenarios was compared. The results show that profitability of the enterprises studied is currently affected more by changes in rainfall than by commodity prices and that dairy enterprises are the most profitable on a $/ha basis but that the profitability of wheat, steer and prime lamb enterprises are least affected by low rainfall scenarios. The self-replacing cow-calf beef systems, canola and dairy enterprises are the most vulnerable to reduced rainfall and may benefit by reducing profit risk through changes such as expanding the enterprise or diversifying across other types of enterprises. Farm diversification involving combinations of enterprises with negatively correlated profits will enable the variance in farm profits to be reduced. Such actions could form part of farms' adaptation strategies to climate and price variability. (C) 2013 Elsevier Ltd. All rights reserved.","Kyle","","No","","No","","No","","No","","No",NA,"No","","No","","Yes","","No specific shock","(looked at relative influence of rainfall variability and commodity prices)","n/a","No","Mechanistic biophysical modelling to estimate yield/producitvity under different rainfall and commodity price scenarios","Quantative","Yield and profitability","Australia","Sub-national","2002-2011","N","","",73,"Maize, Wheat & Rice","N","Oceania"
"142","Volatility in Cereal Prices: Intra- Versus Inter-annual Volatility","Journal of Agricultural Economics","9/1/14","10.1111/1477-9552.12073",8,"Intra-annual (within crop year) price volatility and inter-annual (between crop years) price volatility are measured for wheat, maize, rice, barley, oats and rye. A set of explanatory variables is used in a pooled regression to explain variations in these price volatilities. With low cereal stocks, supply (yield) shocks (defined here as volatilities, as for the price volatilities) mostly influence inter-annual volatility while other influential factors are the crude oil price and exchange rate. Cereal demand and interest rate shocks combined with low stocks affect intra-annual volatility, while other explanatory factors include exchange rate and crude oil price shocks. The derivatives market activity appears to have no significant effect on either intra-or inter-annual volatility. In contrast, large cereal stocks and a well-functioning international cereal market reduce the effects of shocks in the explanatory variables on both intra-and inter-annual volatilities.","Kyle","","No","","Yes","","No","","No","","Yes",NA,"No","","No","","Yes","","Weather shocks, market fluctuations","","Multiple","No","Pooled regression approach","Quantative","Price volatility","Global","International","1960-2013","N","","",79,"Other cereals","N","Multi-regional"
"143","Are smallholder farmers better or worse off from an increase in the international price of cereals?","Food Policy","8/1/18","10.1016/j.foodpol.2018.07.006",0,"The effect of agricultural price shocks on household welfare in low-income countries is a major concern for policymakers attempting to reduce poverty rates. This study estimates the impact of an increase in the world cereal price on rural households in Burkina Faso in an agricultural household model framework. We account for imperfect transmission of global prices to local prices as well as supply and demand response of rural households to price signals. The increase in price during the period from 2006 to 2014 is translated to welfare improvement ranging from 0.02 percent for 2006 to 0.06 percent for 2011 for farmers in Burkina Faso.","Jessica","Cereals (pearl millet, maize, rice, sorghum, peanuts and cowpea)","No","","No","","No","","No","","No",NA,"No","","No","","Yes","","Price spike","","n/a","N","Household panel data used to estimate supply and demand elasticities and price transmission","Mixed
","Welfare","Burkina Faso","National","2007-2011","N","","",4,"Legumes & nuts","N","Africa"
"144","Food Access and Shocks in Rural Households: Evidence from Bangladesh and Ethiopia","Social Indicators Research","11/1/16","10.1007/s11205-015-1118-z",1,"Rural households in developing countries face shocks that undermine their wellbeing. The paper analyses to what extent household exposure to shocks influences food access in rural areas of Bangladesh and Ethiopia. Shortage of staple foods is used as a proxy variable for food access. Climatic, agricultural production, health and other shocks were considered. Findings show that the persistence of shock consequences has a positive and significant impact on the household's probability of facing staple shortage. Additionally, wealth indicators like land size, livestock, assets, human capital and community and social networks exhibit a negative relationship with the likelihood of food shortage.","Shauna","Original: Staples (Ethiopia: maize, teff, wheat, barley, potatoes, beans; Bangladesh: rice, maize, wheat, potatoes)","No","","Yes","","Yes","for Ethiopia","No","","No",NA,"No","","Yes","","No","","Floods, drought","Bangladesh (floods, illness/injury, dowry); Ethiopia (drought, illness, harvest loss)","1999-2004","No","Probit model examining impact of shocks on food shortage using 1000 household observations in Bangladesh and 925 in Ethiopia of RANQ-dataset","Quantitative","Food shortages","Ethiopia and Bangladesh","Sub-national","1999-2004","N","","Not sure if production and storage should be yes because they are considering storage loss as the shock. Self reported food shortage related to shocks over a 5 year period.",25,"Legumes & nuts","N","Multi-regional"
"145","Local Food Prices and International Price Transmission","World Development","8/1/17","10.1016/j.worlddev.2017.03.008",5,"World food prices spiked in the periods 2007-8 and 2010-11. The impact of these spikes in world food prices on local food prices and thus on local consumers is determined by the food price pass through. Pass through is defined as the extent to which changes in world food prices lead to changes in local food prices. We examine the determinants of variation in food price pass through from global to local consumer prices in a global sample of 147 countries, using FAO data on world food prices and ILO data on food prices for consumers. While market integration matters, our study finds that income per capita is the dominant factor explaining cross-country variation in pass through of food prices. We estimate an elasticity of about 0.3 of pass through with respect to income per capita. This means far greater price transmission of food price shocks at the commodity level to final consumers in low-income countries than in high-income countries. The implication is that future swings in world food prices will in particular jeopardize food security in poor countries. Trade policy measures of market integration also affect the pass through significantly, whereas infrastructure and geography measures play no significant role. (C) 2017 Elsevier Ltd. All rights reserved.","Shauna","Original: Cereals, oils and fats, dairy, meat and sugar; items in 'Food Item(s)' based on current list of commodities in FAO's Food Price Index; 'milk powder' was modified to 'milk'","No","","No","","No","","No","","Yes",NA,"No","","No","","Yes","","Price spike","","2007-2008","Yes","Regression using world food price data and consumer price index for price of total food consumption within country and to examine long-run food price pass through","Quantitative","food price pass through","147 countries","International","2000-2012","N","","",42,"Dairy","N","Multi-regional"
"146","Local impacts of a global crisis: Food price transmission, consumer welfare and poverty in Ghana","Food Policy","8/1/10","10.1016/j.foodpol.2010.01.004",40,"This paper takes a local perspective on global food price shocks by analyzing food price transmission between regional markets in Ghana. It also assesses the impacts of food price increases on various household groups. Taking the 2007-2008 global food crisis as an example, we show that prices for domestic grain products are highly correlated with world market prices. This is true both for products for which Ghana is highly import-dependent (e.g., rice) and the products for which Ghana is self-sufficient (e.g., maize). The econometric results also show that price transmission is high between regional producer markets and markets located in the country's largest cities, and the distance between producer and consumer markets and the size of consumer markets matter in explaining the price transmission. The welfare analysis for households as consumers shows that the effect of world food prices appears relatively modest for the country as a whole due to relatively diverse consumption patterns within country. However, the national average hides important regional differences, both between regions and within different income groups. We find that the poorest of the poor-particularly those living in the urban areas-are hardest hit by high food prices. The negative effect of the food crisis is particularly strong in northern Ghana. The main explanations for this regional variation in the price effect is the different consumption patterns and much lower per capita income levels in the North of Ghana compared to other regions in the country. (C) 2010 Elsevier Ltd. All rights reserved.","Shauna","Original: Cereals and tubers (maize, rice, wheat, sorghum and millet, cassava, and
yam, cocoyam and other staples)","No","","No","(but looks at markets in production areas)","Yes","","Yes","(distance between markets)","Yes",NA,"No","","Yes","Food expenditure only","Yes","","Price spike","","2007-2008","Yes","Model examining cointegration and partial equilibrium model to exam consumer demand for food given shock","Quantitative","Price transmission","Ghana","National","2007-2008","N","","",43,"Roots and tubers","N","Africa"
"147","Reserves and trade jointly determine exposure to food supply shocks","Environmental Research Letters","9/1/16","10.1088/1748-9326/11/9/095009",21,"While a growing proportion of global food consumption is obtained through international trade, there is an ongoing debate on whether this increased reliance on trade benefits or hinders food security, and specifically, the ability of global food systems to absorb shocks due to local or regional losses of production. This paper introduces a model that simulates the short-term response to a food supply shock originating in a single country, which is partly absorbed through decreases in domestic reserves and consumption, and partly transmitted through the adjustment of trade flows. By applying the model to publicly-available data for the cereals commodity group over a 17 year period, we find that differential outcomes of supply shocks simulated through this time period are driven not only by the intensification of trade, but as importantly by changes in the distribution of reserves. Our analysis also identifies countries where trade dependency may accentuate the risk of food shortages from foreign production shocks; such risk could be reduced by increasing domestic reserves or importing food from a diversity of suppliers that possess their own reserves. This simulation-based model provides a framework to study the short-term, nonlinear and out-of-equilibrium response of trade networks to supply shocks, and could be applied to specific scenarios of environmental or economic perturbations.","Shauna","Original: Cereals and cereal products","No","","Yes","","Yes","(reserves)","No","","Yes",NA,"No","","Yes","","Yes","Indirectly (check with Jessica)","Simulate a shock","Production shock (20%)","na","Yes","Model simulating the impact of a shock of a specific food commodity to global trade to examine tapping into reserves using historical data on the international trade of cereals","Quantitative","Transmission of shock through trade networks","Global","International","1994-2011","N","","No mention of climate",52,"Maize, Wheat & Rice","N","Multi-regional"
"148","The Distributional and Multi-Sectoral Impacts of Rainfall Shocks: Evidence From Computable General Equilibrium Modelling for the Awash Basin, Ethiopia","Ecological Economics","4/1/18","10.1016/j.ecolecon.2017.11.038",3,"This paper presents an analysis of the multi-sectoral and distributional economic impacts of rainfall shocks in the Awash river basin in Ethiopia. Using novel disaggregated data on crop production, we estimate the direct impacts of rainfall shocks on agriculture and then use a Computable General Equilibrium model to simulate how these rainfall shocks propagate through the wider economy of the basin under three different climate change scenarios. The basin's economy and expanding agricultural sector are highly vulnerable to the impacts of rainfall shocks. A rainfall decrease scenario could lead to a 5% decline in the basin's GDP, with agricultural GDP standing to drop by as much as 10%. All sectors benefit from greater rainfall amounts. Distributional impacts depend on income group, with poor households accruing greater benefits relative to non-poor households under a scenario of additional rainfall and suffering proportionally lower income losses under a scenario of rainfall decrease.","Kyle","","No","","Yes","","No","","Yes","","No",NA,"No","","No","","Yes","","Rainfall variability, floods, droughts","","Simulated","No","Computable general equilibrium model","Quantitative","Crop productivity and changes in GDP","Ethiopia","Sub-national","2004-2014","N","","",64,"Fruits & Vegetables","N","Africa"
